Text,Topics,Source
 F25(2). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
 F26(3). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
 (4)In this Chapter [F27—,"['1.000*""chapter""']",Criminal Justice and Police Act 2001 (c. 16).csv
 “approved educational course” means an educational course run as part of an educational course scheme established by—,"['0.200*""course"" + 0.200*""educational"" + 0.100*""run"" + 0.100*""means"" + 0.100*""scheme""']",Criminal Justice and Police Act 2001 (c. 16).csv
 “educational course scheme” means a scheme established by a chief officer of police under section 2A;],"['0.158*""scheme"" + 0.105*""means"" + 0.105*""course"" + 0.105*""section"" + 0.105*""educational""']",Criminal Justice and Police Act 2001 (c. 16).csv
" “penalty notice” means a notice offering the opportunity, by paying a penalty in accordance with this Chapter, to discharge any liability to be convicted of the offence to which the notice relates [F28;","['0.138*""notice"" + 0.103*""penalty"" + 0.069*""paying"" + 0.069*""accordance"" + 0.069*""relates""']",Criminal Justice and Police Act 2001 (c. 16).csv
 “penalty notice with an education option” means a penalty notice that also offers the opportunity to discharge any liability to be convicted of the offence to which the notice relates by—,"['0.138*""notice"" + 0.103*""penalty"" + 0.069*""option"" + 0.069*""offence"" + 0.069*""also""']",Criminal Justice and Police Act 2001 (c. 16).csv
" [F29(4A)In this section, “relevant penalty offence” means a penalty offence in relation to which there is an approved educational course.","['0.150*""offence"" + 0.150*""penalty"" + 0.100*""means"" + 0.100*""approved"" + 0.100*""educational""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (4B)The Secretary of State may by regulations make provision about the revocation of penalty notices.],"['0.111*""revocation"" + 0.111*""may"" + 0.111*""notices"" + 0.111*""provision"" + 0.111*""penalty""']",Criminal Justice and Police Act 2001 (c. 16).csv
 F30(5). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
 F31(6). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
 F31(7). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
 F31(8). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
 F31(9). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
" Textual AmendmentsF23Word in s. 2(1) substituted (8.4.2013) by Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 3(2); S.I. 2013/453, art. 4(e)F24S. 2(1A) inserted (8.4.2013) by Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 3(3); S.I. 2013/453, art. 4(e)F25S. 2(2) omitted (8.4.2013) by virtue of Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 3(4); S.I. 2013/453, art. 4(e)F26S. 2(3) omitted (8.4.2013) by virtue of Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 3(5); S.I. 2013/453, art. 4(e)F27Words in s. 2(4) inserted (8.4.2013) by Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 3(6)(a); S.I. 2013/453, art. 4(e)F28Words in s. 2(4) inserted (8.4.2013) by Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 3(6)(b); S.I. 2013/453, art. 4(e)F29S. 2(4A)(4B) inserted (8.4.2013) by Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 3(7); S.I. 2013/453, art. 4(e)F30S. 2(5) omitted (8.4.2013) by virtue of Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 3(8); S.I. 2013/453, art. 4(e)F31S. 2(6)-(9) omitted (8.4.2013) by virtue of Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 3(9); S.I. 2013/453, art. 4(e)[F322AEducational course schemesE+W(1)A chief officer of police may establish an educational course scheme under this section in relation to one or more kinds of penalty offence committed in the chief officer's area.","['0.064*""aid"" + 0.064*""offenders"" + 0.064*""legal"" + 0.064*""sch"" + 0.064*""art""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (2)An educational course scheme must include arrangements—,"['0.200*""educational"" + 0.200*""course"" + 0.200*""include"" + 0.200*""scheme"" + 0.200*""must""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (ii)to be refunded in such circumstances (if any) as the chief officer considers appropriate.,"['0.143*""chief"" + 0.143*""ii"" + 0.143*""considers"" + 0.143*""appropriate"" + 0.143*""officer""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (3)The purpose of an educational course mentioned in subsection (2) must be to reduce the likelihood of those who take the course committing the penalty offence, or penalty offences, to which the course relates.","['0.129*""course"" + 0.097*""penalty"" + 0.065*""committing"" + 0.065*""educational"" + 0.065*""likelihood""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (4)An educational course may be provided by any person who, and have any content that, the chief officer of police considers appropriate given its purpose.","['0.077*""course"" + 0.077*""purpose"" + 0.077*""given"" + 0.077*""content"" + 0.077*""considers""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (5)The Secretary of State may by regulations—,"['0.333*""may"" + 0.333*""state"" + 0.333*""secretary""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (ii)more than an amount so specified;,"['0.333*""ii"" + 0.333*""specified"" + 0.333*""amount""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (ii)the chief officer of police who established the scheme, and","['0.167*""officer"" + 0.167*""scheme"" + 0.167*""established"" + 0.167*""ii"" + 0.167*""police""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (iii)any other person specified or described in the regulations;,"['0.200*""iii"" + 0.200*""regulations"" + 0.200*""described"" + 0.200*""specified"" + 0.200*""person""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (6)In subsection (5) “relevant personal information” means any information that relates to, and identifies, a person who has been given a penalty notice with an education option.","['0.111*""information"" + 0.074*""relevant"" + 0.074*""identifies"" + 0.074*""penalty"" + 0.074*""means""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (7)In this section's application in relation to the Chief Constable of the British Transport Police Force, subsection (1) has effect as if the reference to one or more kinds of penalty offence committed in a chief officer of police's area were a reference to one or more kinds of penalty offence—","['0.068*""one"" + 0.068*""reference"" + 0.068*""kinds"" + 0.068*""penalty"" + 0.068*""chief""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (8)In subsection (7) “railway” means—,"['0.500*""railway"" + 0.500*""subsection""']",Criminal Justice and Police Act 2001 (c. 16).csv
" Textual AmendmentsF32S. 2A inserted (8.4.2013) by Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 4; S.I. 2013/453, art. 4(e)3 Amount of penalty and form of penalty noticeE+W(1)The penalty payable in respect of a penalty offence is such amount as the Secretary of State may specify by order.","['0.100*""penalty"" + 0.060*""amount"" + 0.040*""legal"" + 0.040*""offence"" + 0.040*""may""']",Criminal Justice and Police Act 2001 (c. 16).csv
 F33(1A). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
 (2)But the Secretary of State may not specify an amount which is more than a quarter of the amount of the maximum fine for which a person is liable on [F34summary] conviction of the offence [F35plus a half of the relevant surcharge].,"['0.097*""amount"" + 0.065*""may"" + 0.065*""state"" + 0.065*""quarter"" + 0.065*""surcharge""']",Criminal Justice and Police Act 2001 (c. 16).csv
" [F36(2A)The “relevant surcharge”, in relation to a person of a given age, is the amount payable by way of surcharge under [F37section 42 of the Sentencing Code] by a person of that age who is fined the maximum amount for the offence.]","['0.094*""surcharge"" + 0.094*""amount"" + 0.094*""person"" + 0.094*""age"" + 0.063*""relevant""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (3)A penalty notice must—,"['0.500*""penalty"" + 0.500*""notice""']",Criminal Justice and Police Act 2001 (c. 16).csv
 F38(a). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
" [F40(3A)The Secretary of State may by regulations require information in addition to that mentioned in subsection (3) to be included in, or to be provided with, a penalty notice with an education option.]","['0.067*""secretary"" + 0.067*""provided"" + 0.067*""penalty"" + 0.067*""subsection"" + 0.067*""addition""']",Criminal Justice and Police Act 2001 (c. 16).csv
 F41(4). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
 F42(5). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
 F42(6). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
" Textual AmendmentsF33S. 3(1A) omitted (8.4.2013) by virtue of Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 5(2); S.I. 2013/453, art. 4(e)F34Word in s. 3(2) inserted (1.11.2004) by The Criminal Justice and Police Act 2001 (Amendment) and Police Reform Act 2002 (Modification) Order 2004 (S.I. 2004/2540), arts. 1(4), 3F35Words in s. 3(2) inserted (1.10.2012) by Domestic Violence, Crime and Victims Act 2004 (c. 28), ss. 15(2), 60; S.I. 2012/1697, art. 2F36S. 3(2A) inserted (1.10.2012) by Domestic Violence, Crime and Victims Act 2004 (c. 28), ss. 15(3), 60; S.I. 2012/1697, art. 2F37Words in s. 3(2A) substituted (1.12.2020) by Sentencing Act 2020 (c. 17), s. 416(1), Sch. 24 para. 178 (with Sch. 27); S.I. 2020/1236, reg. 2F38S. 3(3)(a) omitted (13.1.2010) by virtue of The Legislative Reform (Revocation of Prescribed Form of Penalty Notice for Disorderly Behaviour) Order 2010 (S.I. 2010/64), arts. 1(1), 2(a)F39Words in s. 3(3)(f) substituted (1.4.2005) by Courts Act 2003 (c. 39), ss. 109(1), 110, Sch. 8 para. 397; S.I. 2005/910, art. 3F40S. 3(3A) inserted (8.4.2013) by Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 5(3); S.I. 2013/453, art. 4(e)F41S. 3(4) omitted (13.1.2010) by virtue of The Legislative Reform (Revocation of Prescribed Form of Penalty Notice for Disorderly Behaviour) Order 2010 (S.I. 2010/64), arts. 1(1), 2(b)F42S. 3(5)(6) omitted (8.4.2013) by virtue of Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 5(4); S.I. 2013/453, art. 4(e)4 Effect of penalty noticeE+W(1)This section applies if a penalty notice is given to a person (“A”) under section 2.","['0.062*""act"" + 0.044*""art"" + 0.044*""sch"" + 0.037*""para"" + 0.031*""omitted""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (2) If A asks to be tried for the alleged offence, proceedings may be brought against him.","['0.143*""tried"" + 0.143*""brought"" + 0.143*""asks"" + 0.143*""proceedings"" + 0.143*""may""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (3)Such a request must be made by a notice given by A—,"['0.200*""request"" + 0.200*""notice"" + 0.200*""given"" + 0.200*""made"" + 0.200*""must""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (4)A request which is made in accordance with subsection (3) is referred to in this Chapter as a “request to be tried”.,"['0.200*""request"" + 0.133*""tried"" + 0.133*""made"" + 0.133*""subsection"" + 0.133*""accordance""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (5)[F43In the case of a penalty notice that is not a penalty notice with an education option, if], by the end of the suspended enforcement period—","['0.167*""notice"" + 0.167*""penalty"" + 0.111*""case"" + 0.111*""end"" + 0.111*""education""']",Criminal Justice and Police Act 2001 (c. 16).csv
 a sum equal to one and a half times the amount of the penalty may be registered under section 8 for enforcement against A as a fine.,"['0.083*""equal"" + 0.083*""one"" + 0.083*""registered"" + 0.083*""fine"" + 0.083*""times""']",Criminal Justice and Police Act 2001 (c. 16).csv
" [F44(6)In the case of a penalty notice with an education option, a sum equal to one and a half times the amount of the penalty may be registered under section 8 for enforcement against A as a fine if subsection (7) or (8) applies.","['0.081*""penalty"" + 0.054*""registered"" + 0.054*""may"" + 0.054*""option"" + 0.054*""education""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (7)This subsection applies if, by the end of the suspended enforcement period, A does not—","['0.167*""end"" + 0.167*""period"" + 0.167*""applies"" + 0.167*""enforcement"" + 0.167*""subsection""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (8)This subsection applies if—,"['0.500*""applies"" + 0.500*""subsection""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (ii)start such a course, or","['0.333*""course"" + 0.333*""ii"" + 0.333*""start""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (iii)complete such a course.,"['0.333*""complete"" + 0.333*""iii"" + 0.333*""course""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (9)The Secretary of State may by regulations make provision—,"['0.200*""make"" + 0.200*""regulations"" + 0.200*""state"" + 0.200*""may"" + 0.200*""secretary""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (10)Regulations made under subsection (9)(b), (e) or (f) may permit a person to delegate the function of making a determination.]","['0.077*""permit"" + 0.077*""function"" + 0.077*""e"" + 0.077*""made"" + 0.077*""may""']",Criminal Justice and Police Act 2001 (c. 16).csv
" Textual AmendmentsF43Words in s. 4(5) substituted (8.4.2013) by Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 6(2); S.I. 2013/453, art. 4(e)F44S. 4(6)-(10) inserted (8.4.2013) by Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 6(3); S.I. 2013/453, art. 4(e)5 General restriction on proceedingsE+W(1)Proceedings for the offence to which a penalty notice relates may not be brought [F45during] the period of 21 days beginning with the date on which the notice was given (“the suspended enforcement period”).","['0.043*""notice"" + 0.043*""punishment"" + 0.043*""offenders"" + 0.043*""e"" + 0.043*""para""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (2)If the penalty is paid before the end of the suspended enforcement period, no proceedings may be brought for the offence.","['0.100*""offence"" + 0.100*""enforcement"" + 0.100*""penalty"" + 0.100*""may"" + 0.100*""end""']",Criminal Justice and Police Act 2001 (c. 16).csv
" [F46(2A)Proceedings for an offence to which a penalty notice with an education option relates may not be brought against a person who has, by the end of the suspended enforcement period, asked to attend an approved educational course relating to the offence, unless section 4(8) applies.","['0.064*""offence"" + 0.043*""course"" + 0.043*""option"" + 0.043*""notice"" + 0.043*""relates""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (2B)If the person to whom a penalty notice with an education option is given—,"['0.200*""education"" + 0.200*""notice"" + 0.200*""person"" + 0.200*""option"" + 0.200*""penalty""']",Criminal Justice and Police Act 2001 (c. 16).csv
 no proceedings may be brought for the offence.],"['0.250*""may"" + 0.250*""proceedings"" + 0.250*""brought"" + 0.250*""offence""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (3)Subsection (1) does not apply if the person to whom the penalty notice was given has made a request to be tried.,"['0.111*""given"" + 0.111*""penalty"" + 0.111*""request"" + 0.111*""subsection"" + 0.111*""tried""']",Criminal Justice and Police Act 2001 (c. 16).csv
" Textual AmendmentsF45Word in s. 5(1) substituted (8.4.2013) by Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 7(2); S.I. 2013/453, art. 4(e)F46S. 5(2A)(2B) inserted (8.4.2013) by Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 7(3); S.I. 2013/453, art. 4(e)6 Secretary of State’s guidanceE+WThe Secretary of State may issue guidance—","['0.065*""secretary"" + 0.065*""punishment"" + 0.065*""legal"" + 0.065*""offenders"" + 0.065*""sentencing""']",Criminal Justice and Police Act 2001 (c. 16).csv
 [F47(ba)about educational course schemes;],"['0.250*""educational"" + 0.250*""schemes"" + 0.250*""ba"" + 0.250*""course""']",Criminal Justice and Police Act 2001 (c. 16).csv
" Textual AmendmentsF47S. 6(ba) inserted (8.4.2013) by Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 23 para. 8; S.I. 2013/453, art. 4(e) ProcedureE+W7 Payment of penaltyE+W(1)If a person to whom a penalty notice is given decides to pay the penalty, he must pay it to the [F48designated officer] specified in the notice.","['0.061*""notice"" + 0.061*""pay"" + 0.061*""penalty"" + 0.041*""legal"" + 0.041*""inserted""']",Criminal Justice and Police Act 2001 (c. 16).csv
